拔苗助长   ba2 miao2 zhu4 zhang3
八难三灾   ba1 nan4 san1 zai1
八旗子弟   ba1 qi2 zi0 di4
跋前踕后   ba2 qian2 jie2 hou4
八千卷楼   ba1 qian1 juan4 lou2
巴前算后   ba1 qian2 suan4 hou4
跋前疐后   ba2 qian2 zhi4 hou4
跋前踬后   ba2 qian2 zhi4 hou4
霸权主义   ba4 quan2 zhu3 yi4
拔群出萃   ba2 qun2 chu1 cui4
八人大轿   ba1 ren2 da4 jiao4
巴人下里   ba1 ren2 xia4 li3
霸闰之朝   ba4 run4 zhi1 chao2
巴三揽四   ba1 san1 lan3 si4
巴三览四   ba1 san1 lan3 si4
拔山超海   ba2 shan1 chao1 hai3
巴山度岭   ba1 shan1 du4 ling3
拔山盖世   ba2 shan1 gai4 shi4
拔山扛鼎   ba2 shan1 gang1 ding3
拔山举鼎   ba2 shan1 ju3 ding3
跋山涉川   ba2 shan1 she4 chuan1
跋山涉水   ba2 shan1 she4 shui3
巴山蜀水   ba1 shan1 shu3 shui3
巴山夜雨   ba1 shan1 ye4 yu3
巴山越岭   ba1 shan1 yue4 ling3
拔舌地狱   ba2 she2 di4 yu4
跋涉山川   ba2 she4 shan1 chuan1
八声甘州   ba1 sheng1 gan1 zhou1
拔十得五   ba2 shi2 de2 wu3
拔十失五   ba2 shi2 shi1 wu3
八十四调   ba1 shi2 si4 diao4
八十种好   ba1 shi2 zhong3 hao3
拔树撼山   ba2 shu4 han4 shan1
拔树搜根   ba2 shu4 sou1 gen1
拔树削迹   ba2 shu4 xiao1 ji4
拔树寻根   ba2 shu4 xun2 gen1
把素持斋   ba3 su4 chi2 zhai1
八抬大轿   ba1 tai2 da4 jiao4
巴头探脑   ba1 tou2 tan4 nao3
八万四千   ba1 wan4 si4 qian1
把玩无厌   ba3 wan2 wu3 yan4
霸王别姬   ba4 wang2 bie2 ji1
霸王风月   ba4 wang2 feng1 yue4
霸王卸甲   ba4 wang2 xie4 jia3
